"AA",30.97,"5/23/2006","3:43pm",-0.18,31.70,32.13,30.96,7774500
"AIG",61.27,"5/23/2006","3:43pm",+0.02,61.20,61.70,60.74,7876700
"AXP",52.35,"5/23/2006","3:43pm",+0.45,52.30,52.54,52.15,5301900
"BA",85.54,"5/23/2006","3:43pm",-0.17,86.04,86.70,85.45,3450400
"C",48.79,"5/23/2006","3:43pm",-0.05,48.98,49.23,48.78,13541400
"CAT",74.20,"5/23/2006","3:43pm",+1.33,73.71,74.75,73.67,4723300
"DD",42.12,"5/23/2006","3:43pm",-0.26,42.50,42.74,41.89,3721200
"DIS",30.42,"5/23/2006","3:43pm",+0.42,30.10,30.45,29.95,9280500
"GE",34.05,"5/23/2006","3:43pm",-0.02,34.10,34.22,33.99,18636700
"GM",24.67,"5/23/2006","3:43pm",+0.23,24.45,24.81,24.11,7803300
"HD",38.02,"5/23/2006","3:43pm",-0.47,38.57,38.70,38.00,8753700
"HON",41.05,"5/23/2006","3:43pm",-0.44,41.56,41.75,41.02,2640100
"HPQ",32.32,"5/23/2006","3:43pm",+0.14,32.57,33.05,32.32,12392200
"IBM",80.06,"5/23/2006","3:43pm",+0.04,80.25,81.30,80.06,4207500
"INTC",17.95,"5/23/2006","3:48pm",-0.06,18.12,18.27,17.93,76780168
"JNJ",60.18,"5/23/2006","3:43pm",+0.32,60.15,60.55,59.98,7127200
"JPM",42.35,"5/23/2006","3:43pm",-0.29,42.74,42.89,42.20,11335100
"KO",43.63,"5/23/2006","3:43pm",+0.03,43.73,43.77,43.52,5800300
"MCD",33.69,"5/23/2006","3:43pm",-0.34,34.03,34.13,33.59,4264000
"MMM",83.71,"5/23/2006","3:43pm",-0.02,83.60,84.02,83.01,2401200
"MO",71.24,"5/23/2006","3:43pm",+0.39,71.20,71.47,71.05,4530800
"MRK",34.45,"5/23/2006","3:43pm",+0.04,34.36,34.60,34.01,7020300
"MSFT",22.93,"5/23/2006","3:48pm",+0.05,23.11,23.3801,22.93,71701760
"PFE",24.01,"5/23/2006","3:43pm",+0.29,23.72,24.13,23.72,24885900
"PG",54.65,"5/23/2006","3:43pm",+0.37,54.31,54.99,54.06,7380000
"T",25.3214,"5/23/2006","3:43pm",+0.0814,25.02,25.56,25.01,10263100
"UTX",62.78,"5/23/2006","3:43pm",-0.16,62.98,63.35,62.50,3146200
"VZ",31.02,"5/23/2006","3:43pm",+0.23,30.92,31.32,30.75,8944800
"WMT",47.76,"5/23/2006","3:43pm",+0.41,47.60,47.99,47.59,9687600
"XOM",60.86,"5/23/2006","3:43pm",+0.08,61.30,61.72,60.83,15495500

